Filenames,SDkey
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_1.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_2.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_3.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_4.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_5.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_6.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_7.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_8.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_9.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_10.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_11.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_12.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_13.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_14.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_15.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_16.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_17.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_18.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_19.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_20.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_21.jpg","bonafide"
"/Deepspeaker/ML_AS2019/CQT/PA/datatrn/PA_T_22.jpg","bonafide"
